episode,strategy,conflicts,delay,utilization,success_rate,throughput
0,MRGC,2,10,0.6,0.9,18
0,Random,4,12,1.0,0.8,16
0,RoundRobin,5,14,1.0,0.75,15
0,FullyGraph,0,52,4.0,1.0,20
1,MRGC,2,9,0.6,0.9,18
1,Random,5,12,1.0,0.75,15
1,RoundRobin,5,15,1.0,0.75,15
1,FullyGraph,0,59,4.0,1.0,20
2,MRGC,2,8,0.4,0.9,18
2,Random,5,12,1.0,0.75,15
2,RoundRobin,5,14,1.0,0.75,15
2,FullyGraph,0,53,4.0,1.0,20
3,MRGC,2,6,0.6,0.9,18
3,Random,5,15,1.0,0.75,15
3,RoundRobin,5,18,1.0,0.75,15
3,FullyGraph,0,56,4.0,1.0,20
4,MRGC,2,10,0.6,0.9,18
4,Random,5,14,1.0,0.75,15
4,RoundRobin,5,15,1.0,0.75,15
4,FullyGraph,0,64,4.0,1.0,20
5,MRGC,2,11,0.6,0.9,18
5,Random,5,14,1.0,0.75,15
5,RoundRobin,5,15,1.0,0.75,15
5,FullyGraph,0,57,4.0,1.0,20
6,MRGC,2,9,0.6,0.9,18
6,Random,5,12,1.0,0.75,15
6,RoundRobin,5,19,1.0,0.75,15
6,FullyGraph,0,51,4.0,1.0,20
7,MRGC,2,5,0.4,0.9,18
7,Random,4,8,1.0,0.8,16
7,RoundRobin,5,15,1.0,0.75,15
7,FullyGraph,0,60,4.0,1.0,20
8,MRGC,2,9,0.4,0.9,18
8,Random,5,14,1.0,0.75,15
8,RoundRobin,5,12,1.0,0.75,15
8,FullyGraph,0,56,4.0,1.0,20
9,MRGC,2,5,0.6,0.9,18
9,Random,5,16,1.0,0.75,15
9,RoundRobin,5,19,1.0,0.75,15
9,FullyGraph,0,48,4.0,1.0,20
